method,bufSize,value
Method1,120,-0.0913628869044366
Method1,240,0.013686583128918
Method1,30/60,-0.12356455117745
Method10,120,0.172353545249302
Method10,240,0.24474580906872
Method10,30/60,0.0240392548395054
Method2,120,-0.103870051723693
Method2,240,0.0999731368026176
Method2,30/60,-0.0161857226950706
Method3,120,0.0771785055275273
Method3,240,0.14653716077047
Method3,30/60,-0.160808355761886
Method4,120,-0.003545918542113
Method4,240,-0.0360491345083246
Method4,30/60,0.040893048582032
Method5,120,0.0972089366107798
Method5,240,0.208230790665482
Method5,30/60,-0.165497943234399
Method6,120,0.0225238618308721
Method6,240,0.140767188773316
Method6,30/60,-0.0763188371113821
Method7,120,-0.0871695896903813
Method7,240,0.0320079811605733
Method7,30/60,-0.217567500881572
Method8,120,0.193970234170163
Method8,240,0.120136983686961
Method8,30/60,0.354016943796163
Method9,120,0.165656038290486
Method9,240,0.171584158205132
Method9,30/60,0.165020697808675
